date,river_id,station,state,district_lgd_code,district,latitude,longitude,mean_discharge_m3_sec,max_discharge_m3_sec,min_discharge_m3_sec,readings,year,month,day_of_year,discharge_range,discharge_mean_to_max_ratio,discharge_min_to_mean_ratio,mean_discharge_3day,mean_discharge_7day,mean_discharge_14day,mean_discharge_30day,max_discharge_3day,max_discharge_7day,max_discharge_14day,max_discharge_30day,min_discharge_3day,min_discharge_7day,min_discharge_14day,min_discharge_30day,discharge_std_7day,discharge_std_14day,discharge_std_30day,discharge_change,discharge_change_pct,discharge_change_2nd
2026-04-06,29,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,30.38094736842105,35.37,20.44,95,2026,4,96,14.929999999999996,0.8589467732095294,0.6727900796551857,24.63569326542162,23.07820124263989,23.07820124263989,69.33266951750086,35.37,40.49,40.49,477.91,16.86,14.67,14.67,14.67,4.265082949853091,4.265082949853091,122.43974011000141,6.8161052631578904,0.289248925696622,3.212553480475375
2026-04-07,30,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,110.38645833333334,144.88,89.23,96,2026,4,97,55.64999999999999,0.7619164711025217,0.8083419048607638,54.777415935672515,35.55080939845324,35.55080939845324,35.55080939845324,144.88,144.88,144.88,144.88,16.86,14.67,14.67,14.67,33.22831307685518,33.22831307685518,33.22831307684856,80.00551096491229,2.6334106700067106,73.1894057017544
2026-04-08,31,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,429.3208333333334,490.65,369.04,96,2026,4,98,121.60999999999996,0.8750042460681411,0.8595902442811805,190.02941301169594,93.30735701750086,84.77206239031325,84.77206239031325,490.65,490.65,490.65,490.65,20.44,14.67,14.67,14.67,151.77726678463486,142.57714829952218,142.57714829952093,318.93437500000005,2.889252720083797,238.92886403508777
2026-05-01,32,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,24.159895833333334,28.9,18.15,96,2026,5,121,10.75,0.8359825547866205,0.7512449608726582,24.159895833333334,24.159895833333334,24.159895833333334,84.66392436947993,28.9,28.9,28.9,490.65,18.15,18.15,18.15,14.67,0.0,0.0,142.62925578494546,-405.16093750000005,-0.9437253122664674,-724.0953125000001
2026-05-02,33,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,20.812315789473686,23.68,17.94,95,2026,5,122,5.739999999999998,0.8788984708392604,0.8619896114142941,22.48610581140351,22.48610581140351,22.48610581140351,84.67017128997264,28.9,28.9,28.9,490.65,17.94,17.94,17.94,14.67,2.367096549577918,2.367096549577918,142.6260582361585,-3.3475800438596472,-0.1385593740533021,401.8133574561404
2026-05-03,34,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,19.91307692307692,25.0,15.14,91,2026,5,123,9.86,0.7965230769230768,0.7603043998918378,21.628429515294645,21.628429515294645,21.628429515294645,84.81245750110195,28.9,28.9,28.9,490.65,15.14,15.14,15.14,15.14,2.237945246031034,2.237945246031034,142.55147695979164,-0.8992388663967681,-0.043207054683053525,2.448341177462879
2026-05-04,35,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,20.224666666666668,25.42,15.14,90,2026,5,124,10.280000000000001,0.7956202465250459,0.7485908296799287,20.31668645973909,21.27748880313765,21.27748880313765,84.84537954411269,25.42,28.9,28.9,490.65,15.14,15.14,15.14,15.14,1.9574396925454196,1.9574396925454196,142.5343894611778,0.31158974358974945,0.015647493593953454,1.2108286099865175
2026-05-05,36,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,23.05,27.09,16.54,92,2026,5,125,10.55,0.8508674787744556,0.7175704989154013,21.062581196581196,21.631991042510123,21.631991042510123,84.78102428095481,27.09,28.9,28.9,490.65,15.14,15.14,15.14,15.14,1.8713729721957375,1.8713729721957375,142.56612339788285,2.825333333333333,0.13969739921547952,2.5137435897435836
2026-05-06,37,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,39.26715789473684,52.52,29.91,95,2026,5,126,22.610000000000003,0.7476610414077844,0.7617052418252297,27.513941520467835,24.571185517881243,24.571185517881243,85.89180059674428,52.52,52.52,52.52,490.65,15.14,15.14,15.14,15.14,7.391536675493428,7.391536675493428,142.115631922965,16.21715789473684,0.7035643338280624,13.391824561403507
2026-05-07,38,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,111.11375,146.64,95.64,96,2026,5,127,50.999999999999986,0.7577315193671577,0.8607395574355109,57.81030263157894,36.93440901532678,36.93440901532678,85.9827120550776,146.64,146.64,146.64,490.65,16.54,15.14,15.14,15.14,33.39871372905694,33.39871372905694,142.1337711016167,71.84659210526316,1.8296865868892715,55.62943421052631
2026-05-08,39,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,395.555625,473.15,327.68,96,2026,5,128,145.46999999999997,0.8360047025256262,0.8284043489458657,181.9788442982456,89.99094175342202,81.76206101341093,81.76206101341094,473.15,473.15,473.15,473.15,29.91,15.14,15.14,15.14,138.70464013897885,130.50773045388533,130.50773045388397,284.44187500000004,2.5599160769931717,212.5952828947369
2026-06-01,40,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,23.83770833333333,26.59,20.07,96,2026,6,152,6.52,0.8964914754920396,0.8419433495599584,23.83770833333333,23.83770833333333,23.83770833333333,90.42314068825912,26.59,26.59,26.59,473.15,20.07,20.07,20.07,15.14,0.0,0.0,138.45764912464338,-371.71791666666667,-0.939736141198009,-656.1597916666667
2026-06-02,41,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,20.37284210526316,23.47,15.84,95,2026,6,153,7.629999999999999,0.8680375843742293,0.7775056576867035,22.105275219298246,22.105275219298246,22.105275219298246,90.48882142857144,26.59,26.59,26.59,473.15,15.84,15.84,15.84,15.14,2.4500304057726727,2.4500304057726727,138.41872985523338,-3.4648662280701714,-0.14535232076923665,368.2530504385965
2026-06-03,42,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,22.29778947368421,28.29,18.21,95,2026,6,154,10.079999999999998,0.7881862663020224,0.816672882372102,22.1694466374269,22.1694466374269,22.1694466374269,90.78498182957394,28.29,28.29,28.29,473.15,15.84,15.84,15.84,15.84,1.735994932976255,1.735994932976255,138.24544601673873,1.9249473684210514,0.09448595136972848,5.389813596491223
2026-06-04,43,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,18.90457831325301,21.87,13.31,83,2026,6,155,8.56,0.8644068730339738,0.7040622530399981,20.52506996406679,21.35322955638343,21.35322955638343,90.19277873146724,28.29,28.29,28.29,473.15,13.31,13.31,13.31,13.31,2.161934372676778,2.161934372676778,138.59240586509583,-3.3932111604312034,-0.15217702025736057,-5.318158528852255
2026-06-05,44,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,21.95542553191489,26.62,17.08,94,2026,6,156,9.540000000000003,0.8247718081110026,0.7779398297323882,21.052597772950705,21.47366875148972,21.47366875148972,87.71967410820696,28.29,28.29,28.29,473.15,13.31,13.31,13.31,13.31,1.8915597194934812,1.8915597194934812,139.80178442446268,3.0508472186618825,0.1613813949250109,6.444058379093086
2026-06-06,45,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,46.45473684210526,70.76,31.12,95,2026,6,157,39.64,0.6565112611942518,0.6698993927308983,29.10491356242439,25.637180099925644,25.637180099925644,78.48267222850771,70.76,70.76,70.76,473.15,13.31,13.31,13.31,13.31,10.337860466714403,10.337860466714403,140.1341562005548,24.49931131019037,1.1158659291106718,21.44846409152849
2026-06-07,46,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,173.75458333333333,260.68,97.55,96,2026,6,158,163.13,0.6665435911206588,0.5614240391740266,80.72158190245116,46.7968091332696,46.7968091332696,46.79680913326961,260.68,260.68,260.68,260.68,17.08,13.31,13.31,13.31,56.77295810206511,56.77295810206511,56.772958102061324,127.29984649122807,2.7402985173268073,102.8005351810377
2026-06-08,47,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,549.0059375,673.64,434.13,96,2026,6,159,239.51,0.8149841718128377,0.7907564751975019,256.40508589181286,121.82084187136482,109.57295017911089,109.5729501791109,673.64,673.64,673.64,673.64,31.12,13.31,13.31,13.31,196.47971164019071,185.17415361451546,185.17415361451452,375.2513541666666,2.159663054451801,247.95150767543853
2026-07-01,48,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,23.6975,26.99,19.75,96,2026,7,182,7.239999999999998,0.8780103742126715,0.8334212469669796,23.6975,23.6975,23.6975,109.55542413744423,26.99,26.99,26.99,673.64,19.75,19.75,19.75,13.31,0.0,0.0,185.1834337545099,-525.3084375,-0.9568356216548204,-900.5597916666666
2026-07-02,49,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,20.485473684210525,24.12,15.68,95,2026,7,183,8.440000000000001,0.849314829361962,0.7654204262840935,22.09148684210526,22.09148684210526,22.09148684210526,109.56950308481267,26.99,26.99,26.99,673.64,15.68,15.68,15.68,13.31,2.2712455892443804,2.2712455892443804,185.17568897434265,-3.212026315789476,-0.13554283429853253,522.0964111842105
2026-07-03,50,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,23.59882978723404,30.17,17.09,94,2026,7,184,13.080000000000002,0.782195219994499,0.7241884514648672,22.59393449048152,22.59393449048152,22.59393449048152,109.7321331240064,30.17,30.17,30.17,673.64,15.68,15.68,15.68,13.31,1.8266469777730796,1.8266469777730796,185.08864424232604,3.113356103023513,0.1519787216550026,6.325382418812989
2026-07-04,51,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,19.51752808988764,24.17,13.59,89,2026,7,185,10.580000000000002,0.8075104712406967,0.696297191806846,21.20061052044407,21.824832890333052,21.824832890333052,109.80875184608571,30.17,30.17,30.17,673.64,13.59,13.59,13.59,13.59,2.142544096708886,2.142544096708886,185.04579621479397,-4.081301697346397,-0.1729450881312008,-7.19465780036991
